pmid,autor,nombres_originales,n_filiaciones,filiacion_ids
26335361,Girard M,"[""Girard Magalí C""]",1,"[""aff_133890e35e9024be""]"
26335361,Ibarra C,"[""Ibarra Cristina""]",1,"[""aff_133890e35e9024be""]"
26335361,Repetto H,"[""Repetto Horacio A""]",1,"[""aff_1634010af039ed03""]"
26335361,Rivera F,"[""Rivera Fulton P""]",1,"[""aff_133890e35e9024be""]"
26335361,Sacerdoti F,"[""Sacerdoti Flavia""]",1,"[""aff_133890e35e9024be""]"
26470817,Damiano A,"[""Damiano Alicia E""]",1,"[""aff_457bad5e76aa544d""]"
26470817,Dietrich V,"[""Dietrich Valeria""]",1,"[""aff_feaf1f6443810fc3""]"
26484945,Bisagno V,"[""Bisagno Verónica""]",1,"[""aff_1f0da6583f4def16""]"
26484945,Garcia-Rill E,"[""Garcia-Rill Edgar""]",1,"[""aff_18364756813db116""]"
26484945,Gingrich J,"[""Gingrich Jay A""]",1,"[""aff_4f0cbe8c7e7083fa""]"
26484945,Goitia B,"[""Goitia Belén""]",2,"[""aff_1f0da6583f4def16"", ""aff_2665c3c0f87d53ff""]"
26484945,Rivero-Echeto M,"[""Rivero-Echeto María Celeste""]",2,"[""aff_1f0da6583f4def16"", ""aff_2665c3c0f87d53ff""]"
26484945,Urbano F,"[""Urbano Francisco J""]",1,"[""aff_2665c3c0f87d53ff""]"
26484945,Weisstaub N,"[""Weisstaub Noelia V""]",1,"[""aff_874dfc8e1d00d458""]"
26493441,Gonzalez M,"[""Gonzalez Maria Carolina""]",1,"[""aff_5a33851ac515a4c8""]"
26493441,Igaz L,"[""Igaz Lionel M""]",1,"[""aff_34d230244c82198c""]"
26493441,Medina J,"[""Medina Jorge H""]",1,"[""aff_bf78ff2abd5f078c""]"
26493441,Villar M,"[""Villar Maria Eugenia""]",1,"[""aff_5a33851ac515a4c8""]"
26493441,Viola H,"[""Viola Haydée""]",1,"[""aff_5a33851ac515a4c8""]"
26568619,Castro-Parodi M,"[""Castro-Parodi M""]",1,"[""aff_16c47262ce39acb1""]"
26568619,Damiano A,"[""Damiano A E""]",1,"[""aff_f8478922c4996e95""]"
26568619,Martinez N,"[""Martinez N""]",1,"[""aff_0211bfda88182203""]"
26568619,Maskin B,"[""Maskin B""]",1,"[""aff_e09388b2adc97070""]"
26568619,Repetto M,"[""Repetto M""]",1,"[""aff_f48d6f1e1ca521ca""]"
26568619,Reppetti J,"[""Reppetti J""]",1,"[""aff_16c47262ce39acb1""]"
26568619,Szpilbarg N,"[""Szpilbarg N""]",1,"[""aff_0211bfda88182203""]"
26656723,Della-Maggiore V,"[""Della-Maggiore Valeria""]",1,"[""aff_07bf92a9139dfeda""]"
26656723,Kovacevic N,"[""Kovacevic Natasa""]",1,"[""aff_454a3aa7c89d859b""]"
26656723,McIntosh A,"[""McIntosh Anthony Randal""]",1,"[""aff_454a3aa7c89d859b""]"
26656723,Villalta J,"[""Villalta Jorge I""]",1,"[""aff_07bf92a9139dfeda""]"
26779016,Bekinschtein P,"[""Bekinschtein Pedro""]",1,"[""aff_757ed4495b008297""]"
26779016,Ciccia L,"[""Ciccia Lucia""]",1,"[""aff_380f0b28f5efd945""]"
26779016,Gingrich J,"[""Gingrich Jay A""]",1,"[""aff_3fc6660c678104fd""]"
26779016,Malleret G,"[""Malleret Gaël""]",1,"[""aff_23127281358a4075""]"
26779016,Morici J,"[""Morici Juan F""]",1,"[""aff_380f0b28f5efd945""]"
26779016,Weisstaub N,"[""Weisstaub Noelia V""]",1,"[""aff_380f0b28f5efd945""]"
26842625,Andrews J,"[""Andrews José""]",1,"[""aff_cfd267c8fd822ba6""]"
26842625,Araoz A,"[""Aráoz Alicia""]",1,"[""aff_56fd823df65626ee""]"
26842625,Canzonieri R,"[""Canzonieri Romina""]",1,"[""aff_0fa2cdb133d14994""]"
26842625,Forrester M,"[""Forrester Mariano""]",1,"[""aff_cfd267c8fd822ba6""]"
26842625,Iriarte R,"[""Iriarte Romina""]",1,"[""aff_cfd267c8fd822ba6""]"
26842625,Lombi F,"[""Lombi Fernando""]",1,"[""aff_cfd267c8fd822ba6""]"
26842625,Muryan A,"[""Muryan Alexis""]",1,"[""aff_0fa2cdb133d14994""]"
26842625,Paulero M,"[""Paulero Matías""]",1,"[""aff_cfd267c8fd822ba6""]"
26842625,Politei J,"[""Politei Juan""]",1,"[""aff_a948fc8ec0153129""]"
26842625,Pomeranz V,"[""Pomeranz Vanesa""]",1,"[""aff_cfd267c8fd822ba6""]"
26842625,Rengel T,"[""Rengel Tatiana""]",1,"[""aff_cfd267c8fd822ba6""]"
26842625,Schiel A,"[""Schiel Amalia""]",1,"[""aff_0fa2cdb133d14994""]"
26842625,Stern A,"[""Stern Aníbal""]",1,"[""aff_0fa2cdb133d14994""]"
26842625,Trimarchi H,"[""Trimarchi Hernán""]",2,"[""aff_b8dd4f653d4b2d82"", ""aff_f8b1c72d2c26f0a3""]"
26842625,Young P,"[""Young Pablo""]",1,"[""aff_35b4b21674b69eea""]"
26842625,Zotta E,"[""Zotta Elsa""]",1,"[""aff_56fd823df65626ee""]"
26942026,Andrews J,"[""Andrews J""]",1,"[""aff_59cff27019488d2a""]"
26942026,Araoz A,"[""Araoz A""]",1,"[""aff_179c57c338aa1280""]"
26942026,Canzonieri R,"[""Canzonieri R""]",1,"[""aff_efd3a4cbff7bff74""]"
26942026,Forrester M,"[""Forrester M""]",1,"[""aff_59cff27019488d2a""]"
26942026,Iriarte R,"[""Iriarte R""]",1,"[""aff_59cff27019488d2a""]"
26942026,Lombi F,"[""Lombi F""]",1,"[""aff_59cff27019488d2a""]"
26942026,Muryan A,"[""Muryan A""]",1,"[""aff_efd3a4cbff7bff74""]"
26942026,Paulero M,"[""Paulero M""]",1,"[""aff_59cff27019488d2a""]"
26942026,Pomeranz V,"[""Pomeranz V""]",1,"[""aff_59cff27019488d2a""]"
26942026,Rengel T,"[""Rengel T""]",1,"[""aff_59cff27019488d2a""]"
