source,target,autores,pmids,evidencia,weight,n_papers,n_autor_paper
aff_792f9b1c452818fc,aff_9cff4d0cc8cde6bf,"[""Garcia-Venzor A"", ""Toiber D""]","[""34804128""]","[{""autor"": ""Garcia-Venzor A"", ""pmid"": ""34804128""}, {""autor"": ""Toiber D"", ""pmid"": ""34804128""}]",2,1,2
aff_7be356d8a2c9fa2e,aff_b5a4005c183ba476,"[""Vlachovsky S""]","[""40577142""]","[{""autor"": ""Vlachovsky S"", ""pmid"": ""40577142""}]",1,1,1
aff_7c732adf1e570f60,aff_ce6f79848aec9c32,"[""Bumaschny V""]","[""30283405""]","[{""autor"": ""Bumaschny V"", ""pmid"": ""30283405""}]",1,1,1
aff_7d988c4443f307d5,aff_d63945c2bb3d569e,"[""Hladik F""]","[""38019897""]","[{""autor"": ""Hladik F"", ""pmid"": ""38019897""}]",1,1,1
aff_7f5ceab98bd48c7c,aff_93130deb441cb8f0,"[""Galaviz-Hernandez C""]","[""36117714""]","[{""autor"": ""Galaviz-Hernandez C"", ""pmid"": ""36117714""}]",1,1,1
aff_7f97c3e3ee25024f,aff_d802cd1985d1e283,"[""Bom A"", ""Luz D"", ""Piazza R""]","[""42347511""]","[{""autor"": ""Bom A"", ""pmid"": ""42347511""}, {""autor"": ""Luz D"", ""pmid"": ""42347511""}, {""autor"": ""Piazza R"", ""pmid"": ""42347511""}]",3,1,3
aff_80c59da7f77a18cb,aff_c4baa78702143c0e,"[""Kiffer F""]","[""31630412""]","[{""autor"": ""Kiffer F"", ""pmid"": ""31630412""}]",1,1,1
aff_80c59da7f77a18cb,aff_e508bee9fda6ff68,"[""Kiffer F""]","[""31630412""]","[{""autor"": ""Kiffer F"", ""pmid"": ""31630412""}]",1,1,1
aff_81d6ffcea2ee2436,aff_b69ee39b3cc67bfe,"[""Farina M""]","[""30564135""]","[{""autor"": ""Farina M"", ""pmid"": ""30564135""}]",1,1,1
aff_8266523032086167,aff_97b628f7572875f9,"[""Damiano A""]","[""32129110""]","[{""autor"": ""Damiano A"", ""pmid"": ""32129110""}]",1,1,1
aff_84d60a0f2c172882,aff_c19da172802ef94f,"[""Wappner P""]","[""40603573""]","[{""autor"": ""Wappner P"", ""pmid"": ""40603573""}]",1,1,1
aff_891224f51168c3c9,aff_e2bb4fe4ec2a830f,"[""Karikari T""]","[""31630412""]","[{""autor"": ""Karikari T"", ""pmid"": ""31630412""}]",1,1,1
aff_89dc26118788c47f,aff_ec82c621f7aded17,"[""Gonzalez-Vinceiro L"", ""Hiraldo-Gonzalez L"", ""Mayo F"", ""Ramirez-Lorca R""]","[""38956598""]","[{""autor"": ""Gonzalez-Vinceiro L"", ""pmid"": ""38956598""}, {""autor"": ""Hiraldo-Gonzalez L"", ""pmid"": ""38956598""}, {""autor"": ""Mayo F"", ""pmid"": ""38956598""}, {""autor"": ""Ramirez-Lorca R"", ""pmid"": ""38956598""}]",4,1,4
aff_8d23ad52c9feccfa,aff_e20f984e26c57db0,"[""Bongiovanni V"", ""Galo A"", ""Katz M"", ""Pagani M""]","[""41208638""]","[{""autor"": ""Bongiovanni V"", ""pmid"": ""41208638""}, {""autor"": ""Galo A"", ""pmid"": ""41208638""}, {""autor"": ""Katz M"", ""pmid"": ""41208638""}, {""autor"": ""Pagani M"", ""pmid"": ""41208638""}]",4,1,4
aff_8e3de54dd41b7735,aff_ff10bfa28896ed6e,"[""Sanchez-Nino M""]","[""27733175""]","[{""autor"": ""Sanchez-Nino M"", ""pmid"": ""27733175""}]",1,1,1
aff_8e4e0251c391bfd6,aff_a0c58bcca0fd4272,"[""Ortiz A""]","[""27733175""]","[{""autor"": ""Ortiz A"", ""pmid"": ""27733175""}]",1,1,1
aff_8e776c6beae99658,aff_93130deb441cb8f0,"[""Giachini F""]","[""36117714""]","[{""autor"": ""Giachini F"", ""pmid"": ""36117714""}]",1,1,1
aff_8ee067b62cdb310b,aff_c3520b1a4102f885,"[""Paz R""]","[""41817828""]","[{""autor"": ""Paz R"", ""pmid"": ""41817828""}]",1,1,1
aff_8ee067b62cdb310b,aff_f2f41d2c80be1556,"[""Belforte J"", ""Paz R"", ""Rela L"", ""Tubert C""]","[""41817828""]","[{""autor"": ""Belforte J"", ""pmid"": ""41817828""}, {""autor"": ""Paz R"", ""pmid"": ""41817828""}, {""autor"": ""Rela L"", ""pmid"": ""41817828""}, {""autor"": ""Tubert C"", ""pmid"": ""41817828""}]",4,1,4
aff_9064db81ef102fa7,aff_91913fe89ca672a6,"[""Rayes D""]","[""41571758""]","[{""autor"": ""Rayes D"", ""pmid"": ""41571758""}]",1,1,1
aff_90d0edc5647ab870,aff_de0b1dcb964173fe,"[""Damiano A""]","[""28986756""]","[{""autor"": ""Damiano A"", ""pmid"": ""28986756""}]",1,1,1
aff_90f3214ef1a79e1c,aff_ccdd92511c648e30,"[""Belluscio M"", ""Merlo S""]","[""38355584""]","[{""autor"": ""Belluscio M"", ""pmid"": ""38355584""}, {""autor"": ""Merlo S"", ""pmid"": ""38355584""}]",2,1,2
aff_918ec50751c2e4d7,aff_a0c82f8177ce87ae,"[""San Gil R""]","[""41423699""]","[{""autor"": ""San Gil R"", ""pmid"": ""41423699""}]",1,1,1
aff_93130deb441cb8f0,aff_a4de4d80af177a8d,"[""Damiano A""]","[""36117714""]","[{""autor"": ""Damiano A"", ""pmid"": ""36117714""}]",1,1,1
aff_93130deb441cb8f0,aff_d021534fc37a5a01,"[""Garcia-Robles R""]","[""36117714""]","[{""autor"": ""Garcia-Robles R"", ""pmid"": ""36117714""}]",1,1,1
aff_93e230e73595ef31,aff_cf2f6dce46d7c2a1,"[""Chang M"", ""Harutyunyan A"", ""Robinson K"", ""Venturato J""]","[""41423699""]","[{""autor"": ""Chang M"", ""pmid"": ""41423699""}, {""autor"": ""Harutyunyan A"", ""pmid"": ""41423699""}, {""autor"": ""Robinson K"", ""pmid"": ""41423699""}, {""autor"": ""Venturato J"", ""pmid"": ""41423699""}]",4,1,4
