Author1,Author2,Weight
Franchi A,Ibarra C,3
Franchi A,Sacerdoti F,3
Armony J,Doyon J,3
Della-Maggiore V,Doyon J,3
Bernal A,Palermo M,3
Damiano A,Seyahian E,3
Fernandez N,Sierra M,3
Fernandez-Brando R,Palermo M,3
Andrews J,Politei J,3
Damiano A,Fernandez N,3
Araoz A,Paulero M,3
Damiano A,Sacerdoti F,3
Bernal A,Ibarra C,3
Andrews J,Stern A,3
Ferreira R,Piazza R,3
Araoz A,Iriarte R,3
Ferreira R,Luz D,3
Riquelme L,Solano A,3
Amaral M,Zotta E,3
Aban C,Martinez N,3
Murer M,Zold C,3
Griffa G,Solano A,3
Gaudric J,Politi M,3
Echevarria M,Netti V,3
Deleglise A,Della-Maggiore V,3
Barragan-Zuniga L,Sosa-Macias M,3
Berdasco C,Pinto A,3
Aban C,Farina M,3
Aban C,Leguizamon G,3
Farina M,Leguizamon G,3
Bernal A,Sacerdoti F,3
Leguizamon G,Martinez N,3
Berdasco C,Goldstein J,3
Berdasco C,Geoghegan P,3
Bortman G,Capurro C,3
Ibarra C,Repetto H,3
Berdasco C,Cangelosi A,3
Bortman G,Ferreyra R,3
Bortman G,Piazza A,3
Medina Y,Szpilbarg N,3
Costales-Collaguazo C,Lombi F,3
Fernandez J,Gaudric J,3
Amaral M,Franchi A,3
Jacobacci F,Lerner G,3
Pagani M,San Martin A,3
Doyon J,Jacobacci F,3
Doyon J,Jovicich J,3
Garcia-Robles R,Giachini F,3
Liern M,Vallejo G,3
Cataldi A,Palermo M,3
Damiano A,Seyahian A,3
Jacobacci F,Jovicich J,3
Liern M,Zotta E,3
Vallejo G,Zotta E,3
Piantanida A,Rela L,3
Alvarez R,Paton J,3
Escudero C,Garcia-Robles R,3
Belforte J,Pretell Annan C,3
Barragan-Zuniga L,Damiano A,3
Galinanes G,Murer M,3
Seyahian E,Zotta E,3
Barragan-Zuniga L,Galaviz-Hernandez C,3
Bortman G,Politi M,3
Gornalusse G,Reppetti J,3
Alvarez R,Paton A,3
Garimano N,Sacerdoti F,3
Piazza A,Politi M,3
Albanese A,Cataldi A,3
Damiano A,Etcheverry T,3
Damiano A,Reynoso M,3
Capurro C,Piazza A,3
Martinez N,Seyahian A,3
Etcheverry T,Reppetti J,3
Gomez G,Murer M,3
Lima V,Sosa-Macias M,3
Damiano A,Di Paola M,3
Costales-Collaguazo C,Politei J,3
Gomez G,Taravini I,3
Amaro E,Jovicich J,3
Bekinschtein P,Silva A,3
Amaro E,Jacobacci F,3
Amaro E,Doyon J,3
Amaro E,Della-Maggiore V,3
Amaro E,Armony J,3
Amaral M,Ferreira R,3
Morici J,Silva A,3
Galaviz-Hernandez C,Lima V,3
Ayala-Ramirez P,Garcia-Robles R,3
Capurro C,Ferreyra R,3
Rela L,Taravini I,3
Miranda M,Silva A,3
Ferreyra R,Piazza A,3
Ferreyra R,Politi M,3
Ayala-Ramirez P,Giachini F,3
Cataldi A,Mercado E,3
Della-Maggiore V,Riquelme L,3
Della-Maggiore V,Perez-Chada D,3
Amaral M,Paton A,3
Amaral M,Paton J,3
Castro-Parodi M,Martinez N,3
Perez-Chada D,Riquelme L,3
Perez-Chada D,Solano A,3
Ibarra C,Jancic C,3
Paton A,Sacerdoti F,3
Belluscio M,Murer M,3
Paton J,Sacerdoti F,3
Ayala-Ramirez P,Escudero C,3
Mercado E,Vilte D,3
Ibarra C,Mercado E,3
Cataldi A,Zotta E,3
Dorr R,Toriano R,3
Bernabeu R,Rocco L,3
Faillace M,Rocco L,3
Amaral M,Bernal A,3
Albanese A,Ibarra C,3
Della-Maggiore V,Villalta J,3
Alvarez R,Gomez F,3
Sacerdoti F,Scalise M,3
Ortiz A,Politei J,2
Muryan A,Ortiz A,2
Casal J,Celi A,2
Taravini I,Tubert C,2
Casal J,Di Giusto G,2
Belluscio M,Zold C,2
Igaz L,Silva P,2
Ortiz A,Paulero M,2
Belluscio M,Silva A,2
Belluscio M,Morici J,2
Muryan A,Sanchez-Nino M,2
Capurro C,Casal J,2
Di Giusto G,Fernandez J,2
Ozu M,Sutka M,2
Bentancor L,Goldstein J,2
Iriarte R,Ortiz A,2
Iriarte R,Sanchez-Nino M,2
Castro Parodi M,Medina Y,2
Castro Parodi M,Di Paola M,2
Ibarra C,Luz D,2
Arenas-Mosquera D,Cangelosi A,2
Arenas-Mosquera D,Cerny N,2
Forrester M,Sanchez-Nino M,2
Gallo F,Silva A,2
Forrester M,Ortiz A,2
Ortiz A,Rengel T,2
Capurro C,Celi A,2
Fernandez J,Netti V,2
Fernandez J,Ford P,2
Arenas-Mosquera D,De Marzi M,2
Silva A,Weisstaub N,2
Arenas-Mosquera D,Geoghegan P,2
Ortiz A,Pomeranz V,2
Costales-Collaguazo C,Ortiz A,2
Ortiz A,Sanchez-Nino M,2
Cangelosi A,Malchiodi E,2
Arenas-Mosquera D,Malchiodi E,2
Arenas-Mosquera D,Pinto A,2
Celi A,Rivarola V,2
Alsina R,Bumaschny V,2
Alsina R,Trotta M,2
Bumaschny V,Trotta M,2
Ibarra C,Seyahian E,2
Cangelosi A,Cerny N,2
Malchiodi E,Pinto A,2
Goldstein J,Malchiodi E,2
Cangelosi A,De Marzi M,2
Cerny N,De Marzi M,2
Belluscio M,Miranda M,2
Geoghegan P,Malchiodi E,2
De Marzi M,Pinto A,2
Cerny N,Geoghegan P,2
Damiano A,Zotta E,2
De Marzi M,Malchiodi E,2
Cerny N,Goldstein J,2
De Marzi M,Goldstein J,2
Morici J,Zold C,2
De Marzi M,Geoghegan P,2
Cerny N,Pinto A,2
Amaral M,Quintilio W,2
Arenas-Mosquera D,Goldstein J,2
Celi A,Ford P,2
