GeneID,Symbol_x,TaxID_x,PathwaySource,PathwayID,PathwayName,GeneConcept,Symbol_y,TaxID_y,Organism
5291,PIK3CB,9606,kegg,hsa04218,Cellular senescence - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04360,Axon guidance - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04370,VEGF signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04380,Osteoclast differentiation - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04510,Focal adhesion - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04550,Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04611,Platelet activation - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04613,Neutrophil extracellular trap formation - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04620,Toll-like receptor signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04625,C-type lectin receptor signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04630,JAK-STAT signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04650,Natural killer cell mediated cytotoxicity - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04660,T cell receptor signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04662,B cell receptor signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04664,Fc epsilon RI signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04666,Fc gamma R-mediated phagocytosis - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04668,TNF signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04670,Leukocyte transendothelial migration - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04722,Neurotrophin signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04725,Cholinergic synapse - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04750,Inflammatory mediator regulation of TRP channels - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04810,Regulation of actin cytoskeleton - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04910,Insulin signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04914,Progesterone-mediated oocyte maturation - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04915,Estrogen signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04917,Prolactin signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04919,Thyroid hormone signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04923,Regulation of lipolysis in adipocytes - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04926,Relaxin signaling pathway - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04929,GnRH secretion - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04930,Type II diabetes mellitus - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04931,Insulin resistance - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04932,Non-alcoholic fatty liver disease - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04933,AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04935,"Growth hormone synthesis, secretion and action - Homo sapiens (human)",PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04960,Aldosterone-regulated sodium reabsorption - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa04973,Carbohydrate digestion and absorption - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05010,Alzheimer disease - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05017,Spinocerebellar ataxia - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05020,Prion disease - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05100,Bacterial invasion of epithelial cells - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05131,Shigellosis - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05132,Salmonella infection - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05135,Yersinia infection - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05142,Chagas disease - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05146,Amoebiasis - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05160,Hepatitis C - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05161,Hepatitis B - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05162,Measles - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05163,Human cytomegalovirus infection - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05164,Influenza A - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05165,Human papillomavirus infection - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05166,Human T-cell leukemia virus 1 infection - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05167,Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05169,Epstein-Barr virus infection - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05170,Human immunodeficiency virus 1 infection - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05171,Coronavirus disease - COVID-19 - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05200,Pathways in cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05203,Viral carcinogenesis - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05205,Proteoglycans in cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05206,MicroRNAs in cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05210,Colorectal cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05211,Renal cell carcinoma - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05212,Pancreatic cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05213,Endometrial cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05214,Glioma - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05215,Prostate cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05218,Melanoma - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05220,Chronic myeloid leukemia - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05221,Acute myeloid leukemia - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05222,Small cell lung cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05223,Non-small cell lung cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05224,Breast cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05225,Hepatocellular carcinoma - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
5291,PIK3CB,9606,kegg,hsa05226,Gastric cancer - Homo sapiens (human),PIK3CB,PIK3CB,,Homo sapiens
