GeneID,Symbol,Description,TaxID,Organism,Papers,Mentions,Text_mentions
4846,NOS3,nitric oxide synthase 3,,Homo sapiens,1,3,['eNOS']
566096,hp,haptoglobin,,Danio rerio,1,3,['hpl']
10536,P3H3,prolyl 3-hydroxylase 3,,Homo sapiens,1,2,['P3H3']
11423,Ache,acetylcholinesterase,,Mus musculus,1,2,"['Acetylcholinesterase', 'acetylcholinesterase']"
114737,Iba1,induction of brown adipocytes 1,,Mus musculus,1,2,['Iba1']
11838,Arc,activity regulated cytoskeletal-associated protein,,Mus musculus,1,2,"['Arc', 'activity-regulated cytoskeleton-associated protein']"
11998,Avp,arginine vasopressin,,Mus musculus,1,2,['AVP']
14617,Gjd2,"gap junction protein, delta 2",,Mus musculus,1,2,"['Connexins', 'connexins']"
1644,DDC,dopa decarboxylase,,Homo sapiens,1,2,"['AADC', 'aromatic L-amino acid decarboxylase']"
170913,Abcb1a,ATP binding cassette subfamily B member 1A,,Rattus norvegicus,1,2,['Abcb1a']
17196,Mbp,myelin basic protein,,Mus musculus,1,2,['MBP']
18125,Nos1,"nitric oxide synthase 1, neuronal",,Mus musculus,1,2,"['nNOS', 'neuronal nitric oxide synthase']"
18429,Oxt,oxytocin,,Mus musculus,1,2,['Oxytocin']
1958,EGR1,early growth response 1,,Homo sapiens,1,2,['Egr1']
20259,Scin,scinderin,,Mus musculus,1,2,['SCIN']
22348,Slc32a1,"solute carrier family 32 (GABA vesicular transporter), member 1",,Mus musculus,1,2,"['VGAT', 'vesicular GABA transporter']"
23237,ARC,activity regulated cytoskeleton associated protein,,Homo sapiens,1,2,"['Arc', 'arc']"
24646,Abcb1b,"ATP-binding cassette, sub-family B member 1B",,Rattus norvegicus,1,2,['Abcb1b']
24768,Scnn1g,sodium channel epithelial 1 subunit gamma,,Rattus norvegicus,1,2,['ENaC']
26413,Mapk1,mitogen-activated protein kinase 1,,Mus musculus,1,2,"['ERK', 'extracellular signal-regulated kinase']"
280846,LTF,lactotransferrin,,Bos taurus,1,2,['lactoferrin']
30659,dnmt3bb.2,"DNA (cytosine-5-)-methyltransferase 3 beta, duplicate b.2",,Danio rerio,1,2,"['DNA methyltransferase', 'DNMTs']"
3552,IL1A,interleukin 1 alpha,,Homo sapiens,1,2,"['IL-1', 'IL1A']"
3576,CXCL8,C-X-C motif chemokine ligand 8,,Homo sapiens,1,2,['IL-8']
3916,LAMP1,lysosome associated membrane protein 1,,Homo sapiens,1,2,['CD107a']
402974,pitx3,paired-like homeodomain 3,,Danio rerio,1,2,['Pitx3']
43149,Nf1,Neurofibromin 1,,Drosophila melanogaster,1,2,['NF1']
43580,sima,similar,,Drosophila melanogaster,1,2,['Sima']
4790,NFKB1,nuclear factor kappa B subunit 1,,Homo sapiens,1,2,['NF-kappaB']
5228,PGF,placental growth factor,,Homo sapiens,1,2,"['PGF', 'placental growth factor']"
54263,Kcnn3,potassium calcium-activated channel subfamily N member 3,,Rattus norvegicus,1,2,['SK3']
56262,LRRC8A,leucine rich repeat containing 8 VRAC subunit A,,Homo sapiens,1,2,"['LRRC8', 'leucine-rich repeat containing 8']"
59272,ACE2,angiotensin converting enzyme 2,,Homo sapiens,1,2,"['ACE2', 'angiotensin-converting enzyme 2']"
6347,CCL2,C-C motif chemokine ligand 2,,Homo sapiens,1,2,"['CCL2', 'monocyte chemoattractant protein-1']"
6348,CCL3,C-C motif chemokine ligand 3,,Homo sapiens,1,2,"['CCL3', 'macrophage inflammatory protein-1 alpha']"
6352,CCL5,C-C motif chemokine ligand 5,,Homo sapiens,1,2,"['CCL5', 'chemokine (C-C motif) ligand 5']"
6571,SLC18A2,solute carrier family 18 member A2,,Homo sapiens,1,2,"['VMAT2', 'vesicular monoamine transporter 2']"
7432,VIP,vasoactive intestinal peptide,,Homo sapiens,1,2,"['VIP', 'vasoactive intestinal peptide']"
84577,Hdac2,histone deacetylase 2,,Rattus norvegicus,1,2,"['HDAC2', 'histone deacetylase 2']"
8842,PROM1,prominin 1,,Homo sapiens,1,2,['CD133']
91433,RCCD1,RCC1 domain containing 1,,Homo sapiens,1,2,['RCCD1']
959,CD40LG,CD40 ligand,,Homo sapiens,1,2,"['CD40 Ligand', 'CD40 ligand']"
10457,GPNMB,glycoprotein nmb,,Homo sapiens,1,1,['Gpnmb']
108058,Camk2d,"calcium/calmodulin-dependent protein kinase II, delta",,Mus musculus,1,1,['CaMKII']
12048,Bcl2l1,BCL2-like 1,,Mus musculus,1,1,['Bcl-XL']
12122,Bid,BH3 interacting domain death agonist,,Mus musculus,1,1,['Bid']
12370,Casp8,caspase 8,,Mus musculus,1,1,['caspase-8']
12371,Casp9,caspase 9,,Mus musculus,1,1,['caspase-9']
1268,CNR1,cannabinoid receptor 1,,Homo sapiens,1,1,['CB1']
12857,Cox4i1,cytochrome c oxidase subunit 4I1,,Mus musculus,1,1,['COX']
1302,COL11A2,collagen type XI alpha 2 chain,,Homo sapiens,1,1,['PARP']
13370,Dio1,"deiodinase, iodothyronine, type I",,Mus musculus,1,1,['D1/D5']
1401,CRP,C-reactive protein,,Homo sapiens,1,1,['C-reactive protein']
1440,CSF3,colony stimulating factor 3,,Homo sapiens,1,1,['CSF3']
14645,Glul,glutamate-ammonia ligase,,Mus musculus,1,1,['glutamine synthetase']
15530,Hspg2,perlecan (heparan sulfate proteoglycan 2),,Mus musculus,1,1,['PLC']
