PMID,Section,EntityType,Mention,NormalizedName,NormalizedID,Database,Valid,GeneID,Symbol,Description,TaxID,Organism,CommonName,GeneConcept
40603573,title,Gene,4EBP,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly,THOR
40603573,title,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly,THOR
40603573,abstract,Gene,Sima,sima,43580,ncbi_gene,True,43580,sima,similar,,Drosophila melanogaster,fruit fly,SIMA
40603573,abstract,Gene,4E-BP,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly,THOR
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly,THOR
40603573,abstract,Gene,4E-BP,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly,THOR
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly,THOR
40603573,abstract,Gene,Sima,sima,43580,ncbi_gene,True,43580,sima,similar,,Drosophila melanogaster,fruit fly,SIMA
40603573,abstract,Gene,Foxo,foxo,41709,ncbi_gene,True,41709,foxo,"forkhead box, sub-group O",,Drosophila melanogaster,fruit fly,FOXO
40603573,abstract,Gene,4E-BP,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly,THOR
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly,THOR
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly,THOR
40603573,abstract,Gene,Thor,Thor,33569,ncbi_gene,True,33569,Thor,thor,,Drosophila melanogaster,fruit fly,THOR
40617562,title,Gene,GB3,A4GALT,53947,ncbi_gene,True,53947,A4GALT,"alpha 1,4-galactosyltransferase (P1PK blood group)",,Homo sapiens,human,A4GALT
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True,6804,STX1A,syntaxin 1A,,Homo sapiens,human,STX1A
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human,STX2
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human,STX2
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True,6804,STX1A,syntaxin 1A,,Homo sapiens,human,STX1A
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human,STX2
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True,6804,STX1A,syntaxin 1A,,Homo sapiens,human,STX1A
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human,STX2
40617562,abstract,Gene,LC3,MAP1LC3A,84557,ncbi_gene,True,84557,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha,,Homo sapiens,human,MAP1LC3A
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True,6804,STX1A,syntaxin 1A,,Homo sapiens,human,STX1A
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human,STX2
40617562,abstract,Gene,TAR-DNA-binding protein-43,TARDBP,23435,ncbi_gene,True,23435,TARDBP,TAR DNA binding protein,,Homo sapiens,human,TARDBP
40617562,abstract,Gene,Stx1,STX1A,6804,ncbi_gene,True,6804,STX1A,syntaxin 1A,,Homo sapiens,human,STX1A
40617562,abstract,Gene,Stx2,STX2,2054,ncbi_gene,True,2054,STX2,syntaxin 2,,Homo sapiens,human,STX2
40882494,title,Gene,Aquaporin-1,AQP1,358,ncbi_gene,True,358,AQP1,aquaporin 1 (Colton blood group),,Homo sapiens,human,AQP1
40882494,title,Gene,aquaporin-4,AQP4,361,ncbi_gene,True,361,AQP4,aquaporin 4,,Homo sapiens,human,AQP4
40882494,title,Gene,caveolin-1,CAV1,857,ncbi_gene,True,857,CAV1,caveolin 1,,Homo sapiens,human,CAV1
41014673,title,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41014673,abstract,Gene,aquaporin 3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41014673,abstract,Gene,TonEBP,NFAT5,10725,ncbi_gene,True,10725,NFAT5,nuclear factor of activated T cells 5,,Homo sapiens,human,NFAT5
41014673,abstract,Gene,NF-kappaB,NFKB1,4790,ncbi_gene,True,4790,NFKB1,nuclear factor kappa B subunit 1,,Homo sapiens,human,NFKB1
41014673,abstract,Gene,Bax,BAX,581,ncbi_gene,True,581,BAX,"BCL2 associated X, apoptosis regulator",,Homo sapiens,human,BAX
41014673,abstract,Gene,Bcl-2,BCL2,596,ncbi_gene,True,596,BCL2,BCL2 apoptosis regulator,,Homo sapiens,human,BCL2
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41014673,abstract,Gene,TonEBP,NFAT5,10725,ncbi_gene,True,10725,NFAT5,nuclear factor of activated T cells 5,,Homo sapiens,human,NFAT5
41014673,abstract,Gene,NF-kappaB,NFKB1,4790,ncbi_gene,True,4790,NFKB1,nuclear factor kappa B subunit 1,,Homo sapiens,human,NFKB1
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41014673,abstract,Gene,TonEBP,NFAT5,10725,ncbi_gene,True,10725,NFAT5,nuclear factor of activated T cells 5,,Homo sapiens,human,NFAT5
41014673,abstract,Gene,AQP3,AQP3,360,ncbi_gene,True,360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,human,AQP3
41183746,abstract,Gene,tyrosine hydroxylase,TH,7054,ncbi_gene,True,7054,TH,tyrosine hydroxylase,,Homo sapiens,human,TH
41183746,abstract,Gene,TH+,TH,7054,ncbi_gene,True,7054,TH,tyrosine hydroxylase,,Homo sapiens,human,TH
41183746,abstract,Gene,TH+,TH,7054,ncbi_gene,True,7054,TH,tyrosine hydroxylase,,Homo sapiens,human,TH
