GeneID,Symbol,TaxID,PathwaySource,PathwayID,PathwayName
20259,Scin,10090,kegg,mmu04810,Regulation of actin cytoskeleton - Mus musculus (mouse)
20259,Scin,10090,kegg,mmu05203,Viral carcinogenesis - Mus musculus (mouse)
12978,Csf1r,10090,kegg,mmu04010,MAPK signaling pathway - Mus musculus (mouse)
12978,Csf1r,10090,kegg,mmu04014,Ras signaling pathway - Mus musculus (mouse)
12978,Csf1r,10090,kegg,mmu04015,Rap1 signaling pathway - Mus musculus (mouse)
12978,Csf1r,10090,kegg,mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (mouse)
12978,Csf1r,10090,kegg,mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (mouse)
12978,Csf1r,10090,kegg,mmu04151,PI3K-Akt signaling pathway - Mus musculus (mouse)
12978,Csf1r,10090,kegg,mmu04380,Osteoclast differentiation - Mus musculus (mouse)
12978,Csf1r,10090,kegg,mmu04640,Hematopoietic cell lineage - Mus musculus (mouse)
12978,Csf1r,10090,kegg,mmu05200,Pathways in cancer - Mus musculus (mouse)
12978,Csf1r,10090,kegg,mmu05202,Transcriptional misregulation in cancer - Mus musculus (mouse)
12978,Csf1r,10090,kegg,mmu05221,Acute myeloid leukemia - Mus musculus (mouse)
4313,MMP2,9606,biocarta,reckpathway,inhibition of matrix metalloproteinases
4313,MMP2,9606,kegg,hsa04670,Leukocyte transendothelial migration - Homo sapiens (human)
4313,MMP2,9606,kegg,hsa04912,GnRH signaling pathway - Homo sapiens (human)
4313,MMP2,9606,kegg,hsa04915,Estrogen signaling pathway - Homo sapiens (human)
4313,MMP2,9606,kegg,hsa04926,Relaxin signaling pathway - Homo sapiens (human)
4313,MMP2,9606,kegg,hsa04933,AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)
4313,MMP2,9606,kegg,hsa05200,Pathways in cancer - Homo sapiens (human)
4313,MMP2,9606,kegg,hsa05205,Proteoglycans in cancer - Homo sapiens (human)
4313,MMP2,9606,kegg,hsa05219,Bladder cancer - Homo sapiens (human)
4313,MMP2,9606,kegg,hsa05415,Diabetic cardiomyopathy - Homo sapiens (human)
4313,MMP2,9606,kegg,hsa05418,Fluid shear stress and atherosclerosis - Homo sapiens (human)
4313,MMP2,9606,pid,amb2_neutrophils_pathway,amb2 Integrin signaling
4313,MMP2,9606,pid,angiopoietinreceptor_pathway,Angiopoietin receptor Tie2-mediated signaling
4313,MMP2,9606,pid,atf2_pathway,ATF-2 transcription factor network
