GeneConcept,Papers,Mentions,N_GeneIDs,GeneIDs,Symbols,N_species,TaxIDs,Organisms,Text_mentions
SPP1,2,12,1,['6696'],['SPP1'],1,[''],['Homo sapiens'],"['OPN', 'Osteopontin', 'Spp1']"
HTR2A,2,11,1,['15558'],['Htr2a'],1,[''],['Mus musculus'],"['5-HT2A', '5-HT2A -/-', '5-HT2A receptors', 'htr2a']"
SST,2,11,1,['20604'],['Sst'],1,[''],['Mus musculus'],"['SOM', 'Somatostatin', 'somatostatin']"
VIP,2,11,2,"['22353', '7432']","['VIP', 'Vip']",1,[''],"['Homo sapiens', 'Mus musculus']","['VIP', 'Vasoactive intestinal peptide', 'vasoactive intestinal peptide']"
TRPV1,2,10,1,['7442'],['TRPV1'],1,[''],['Homo sapiens'],"['TRPV-1', 'Transient receptor potential vanilloid 1', 'transient receptor potential vanilloid 1']"
NFKB1,2,8,2,"['18033', '4790']","['NFKB1', 'Nfkb1']",1,[''],"['Homo sapiens', 'Mus musculus']","['NF-kappa B', 'NF-kappaB']"
SLC6A3,2,8,1,['6531'],['SLC6A3'],1,[''],['Homo sapiens'],"['DAT', 'dopamine transporter']"
SLC9A2,2,7,1,['6549'],['SLC9A2'],1,[''],['Homo sapiens'],"['NHE-2', 'NHE2']"
TH,2,7,1,['7054'],['TH'],1,[''],['Homo sapiens'],"['TH', 'TH+', 'tyrosine hydroxylase']"
GJB2,2,6,1,['2706'],['GJB2'],1,[''],['Homo sapiens'],"['Cx26', 'GJB2']"
KCNA3,2,6,1,['16491'],['Kcna3'],1,[''],['Mus musculus'],['Kv1.3']
MAPK1,2,6,2,"['26413', '5594']","['MAPK1', 'Mapk1']",1,[''],"['Homo sapiens', 'Mus musculus']","['ERK', 'extracellular signal-regulated kinase']"
SYNPO,2,6,1,['11346'],['SYNPO'],1,[''],['Homo sapiens'],['synaptopodin']
DRD5,2,5,1,['13492'],['Drd5'],1,[''],['Mus musculus'],"['D5R', 'Drd5', 'dopamine D5 receptor']"
RCCD1,2,5,2,"['308760', '91433']","['RCCD1', 'Rccd1']",1,[''],"['Homo sapiens', 'Rattus norvegicus']",['RCCD1']
MMP2,2,4,1,['4313'],['MMP2'],1,[''],['Homo sapiens'],"['MMP-2', 'matrix metalloproteinase-2']"
PTPRC,2,4,1,['24699'],['Ptprc'],1,[''],['Rattus norvegicus'],['CD45']
RL,2,4,1,['3354888'],['rl'],1,[''],['Drosophila melanogaster'],"['ERK1/2', 'mitogen-activated protein kinase']"
ZGC:113984,2,4,1,['573997'],['zgc:113984'],1,[''],['Danio rerio'],['histone']
LAMP1,2,3,2,"['16783', '3916']","['LAMP1', 'Lamp1']",1,[''],"['Homo sapiens', 'Mus musculus']",['CD107a']
RBFOX3,2,3,1,['52897'],['Rbfox3'],1,[''],['Mus musculus'],['NeuN']
VEGFAA,2,3,1,['30682'],['vegfaa'],1,[''],['Danio rerio'],"['VEGF', 'vascular endothelial growth factor', 'vegfaa']"
IFNG,2,2,2,"['15978', '3458']","['IFNG', 'Ifng']",1,[''],"['Homo sapiens', 'Mus musculus']","['IFN-gamma', 'interferon-gamma']"
LIN28AB,2,2,1,['394066'],['lin28ab'],1,[''],['Danio rerio'],['lin28a']
PARP1,2,2,1,['11545'],['Parp1'],1,[''],['Mus musculus'],"['PARP-1', 'poly(ADP-ribose) polymerase']"
UGCG,2,2,2,"['7357', '83626']","['UGCG', 'Ugcg']",1,[''],"['Homo sapiens', 'Rattus norvegicus']",['glucosylceramide synthase']
PLAUR,1,11,1,['5329'],['PLAUR'],1,[''],['Homo sapiens'],"['uPAR', 'urokinase-type Plasminogen Activator Receptor']"
ADORA2A,1,10,1,['135'],['ADORA2A'],1,[''],['Homo sapiens'],"[' receptor', 'ADORA2A']"
THBD,1,10,1,['7056'],['THBD'],1,[''],['Homo sapiens'],"['THBD', 'Thrombomodulin', 'thrombomodulin']"
THOR,1,10,1,['33569'],['Thor'],1,[''],['Drosophila melanogaster'],"['4E-BP', '4EBP', 'Thor']"
MAPT,1,9,1,['4137'],['MAPT'],1,[''],['Homo sapiens'],"['Tau', 'microtubule-associated protein tau', 'tau']"
NPY,1,7,1,['109648'],['Npy'],1,[''],['Mus musculus'],"['NPY', 'Neuropeptide Y', 'Npy', 'neuropeptide Y']"
P2RX7,1,7,1,['387298'],['p2rx7'],1,[''],['Danio rerio'],['P2RX7']
P2RY1,1,7,1,['100003922'],['p2ry1'],1,[''],['Danio rerio'],['P2RY1']
