PathwaySource,PathwayID,PathwayName,Genes
kegg,hsa05200,Pathways in cancer - Homo sapiens (human),21
wikipathways,WP4754,IL-18 signaling pathway,21
kegg,hsa05417,Lipid and atherosclerosis - Homo sapiens (human),20
kegg,hsa04151,PI3K-Akt signaling pathway - Homo sapiens (human),17
kegg,hsa04933,AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human),17
kegg,hsa05164,Influenza A - Homo sapiens (human),17
kegg,hsa05205,Proteoglycans in cancer - Homo sapiens (human),17
kegg,hsa05418,Fluid shear stress and atherosclerosis - Homo sapiens (human),17
kegg,mmu04024,cAMP signaling pathway - Mus musculus (mouse),17
kegg,mmu05022,Pathways of neurodegeneration - multiple diseases - Mus musculus (mouse),17
wikipathways,WP3888,VEGFA-VEGFR2 Signaling Pathway,17
kegg,hsa04620,Toll-like receptor signaling pathway - Homo sapiens (human),16
kegg,hsa05022,Pathways of neurodegeneration - multiple diseases - Homo sapiens (human),16
wikipathways,WP1449,Regulation of toll-like receptor signaling pathway,16
wikipathways,WP4172,PI3K-Akt signaling pathway,16
wikipathways,WP706,Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways,16
wikipathways,WP75,Toll-like Receptor Signaling Pathway,16
kegg,hsa04060,Cytokine-cytokine receptor interaction - Homo sapiens (human),15
kegg,hsa05152,Tuberculosis - Homo sapiens (human),15
kegg,hsa05163,Human cytomegalovirus infection - Homo sapiens (human),15
kegg,hsa05171,Coronavirus disease - COVID-19 - Homo sapiens (human),15
kegg,mmu05200,Pathways in cancer - Mus musculus (mouse),15
wikipathways,WP2431,Spinal Cord Injury,15
kegg,hsa04010,MAPK signaling pathway - Homo sapiens (human),14
kegg,hsa05142,Chagas disease - Homo sapiens (human),14
kegg,hsa05167,Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human),14
kegg,hsa05323,Rheumatoid arthritis - Homo sapiens (human),14
kegg,mmu05417,Lipid and atherosclerosis - Mus musculus (mouse),14
wikipathways,WP3932,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,14
wikipathways,WP4298,Acute viral myocarditis,14
kegg,hsa04066,HIF-1 signaling pathway - Homo sapiens (human),13
kegg,hsa05010,Alzheimer disease - Homo sapiens (human),13
kegg,hsa05020,Prion disease - Homo sapiens (human),13
kegg,hsa05132,Salmonella infection - Homo sapiens (human),13
kegg,hsa05135,Yersinia infection - Homo sapiens (human),13
kegg,hsa05161,Hepatitis B - Homo sapiens (human),13
kegg,mmu04080,Neuroactive ligand-receptor interaction - Mus musculus (mouse),13
kegg,mmu04210,Apoptosis - Mus musculus (mouse),13
kegg,mmu05010,Alzheimer disease - Mus musculus (mouse),13
kegg,mmu05161,Hepatitis B - Mus musculus (mouse),13
wikipathways,WP4659,Gastrin signaling pathway,13
wikipathways,WP4666,Hepatitis B infection,13
kegg,hsa04024,cAMP signaling pathway - Homo sapiens (human),12
kegg,hsa04510,Focal adhesion - Homo sapiens (human),12
kegg,hsa04657,IL-17 signaling pathway - Homo sapiens (human),12
kegg,hsa04668,TNF signaling pathway - Homo sapiens (human),12
kegg,hsa05162,Measles - Homo sapiens (human),12
kegg,hsa05165,Human papillomavirus infection - Homo sapiens (human),12
kegg,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),12
kegg,hsa05169,Epstein-Barr virus infection - Homo sapiens (human),12
kegg,hsa05170,Human immunodeficiency virus 1 infection - Homo sapiens (human),12
kegg,mmu05014,Amyotrophic lateral sclerosis - Mus musculus (mouse),12
kegg,mmu05152,Tuberculosis - Mus musculus (mouse),12
wikipathways,WP306,Focal Adhesion,12
kegg,hsa04015,Rap1 signaling pathway - Homo sapiens (human),11
kegg,hsa04621,NOD-like receptor signaling pathway - Homo sapiens (human),11
kegg,hsa05031,Amphetamine addiction - Homo sapiens (human),11
kegg,hsa05131,Shigellosis - Homo sapiens (human),11
kegg,hsa05133,Pertussis - Homo sapiens (human),11
kegg,hsa05146,Amoebiasis - Homo sapiens (human),11
kegg,hsa05160,Hepatitis C - Homo sapiens (human),11
kegg,mmu05170,Human immunodeficiency virus 1 infection - Mus musculus (mouse),11
pid,ap1_pathway,AP-1 transcription factor network,11
wikipathways,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,11
kegg,hsa04062,Chemokine signaling pathway - Homo sapiens (human),10
kegg,hsa04218,Cellular senescence - Homo sapiens (human),10
kegg,hsa04660,T cell receptor signaling pathway - Homo sapiens (human),10
kegg,hsa04915,Estrogen signaling pathway - Homo sapiens (human),10
kegg,hsa04932,Non-alcoholic fatty liver disease - Homo sapiens (human),10
kegg,hsa05130,Pathogenic Escherichia coli infection - Homo sapiens (human),10
kegg,hsa05145,Toxoplasmosis - Homo sapiens (human),10
kegg,hsa05166,Human T-cell leukemia virus 1 infection - Homo sapiens (human),10
kegg,mmu04217,Necroptosis - Mus musculus (mouse),10
kegg,mmu05145,Toxoplasmosis - Mus musculus (mouse),10
kegg,mmu05164,Influenza A - Mus musculus (mouse),10
netpath,Pathway_EGFR1,EGFR1,10
wikipathways,WP2328,Allograft Rejection,10
wikipathways,WP3624,Lung fibrosis,10
wikipathways,WP4396,Nonalcoholic fatty liver disease,10
kegg,hsa04020,Calcium signaling pathway - Homo sapiens (human),9
kegg,hsa04061,Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human),9
kegg,hsa04210,Apoptosis - Homo sapiens (human),9
kegg,hsa04725,Cholinergic synapse - Homo sapiens (human),9
kegg,hsa04728,Dopaminergic synapse - Homo sapiens (human),9
kegg,hsa05012,Parkinson disease - Homo sapiens (human),9
kegg,hsa05140,Leishmaniasis - Homo sapiens (human),9
kegg,hsa05144,Malaria - Homo sapiens (human),9
kegg,hsa05210,Colorectal cancer - Homo sapiens (human),9
kegg,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human),9
kegg,mmu04151,PI3K-Akt signaling pathway - Mus musculus (mouse),9
kegg,mmu04657,IL-17 signaling pathway - Mus musculus (mouse),9
kegg,mmu04932,Non-alcoholic fatty liver disease - Mus musculus (mouse),9
kegg,mmu05012,Parkinson disease - Mus musculus (mouse),9
kegg,mmu05020,Prion disease - Mus musculus (mouse),9
kegg,mmu05132,Salmonella infection - Mus musculus (mouse),9
kegg,mmu05160,Hepatitis C - Mus musculus (mouse),9
kegg,mmu05162,Measles - Mus musculus (mouse),9
kegg,mmu05168,Herpes simplex virus 1 infection - Mus musculus (mouse),9
pid,atf2_pathway,ATF-2 transcription factor network,9
reactome,R-RNO-382551,Transport of small molecules,9
wikipathways,WP2355,Corticotropin-releasing hormone signaling pathway,9
wikipathways,WP2374,Oncostatin M Signaling Pathway,9
wikipathways,WP2882,Nuclear Receptors Meta-Pathway,9
wikipathways,WP382,MAPK Signaling Pathway,9
wikipathways,WP4329,miRNAs involvement in the immune response in sepsis,9
wikipathways,WP4341,"Non-genomic actions of 1,25 dihydroxyvitamin D3",9
wikipathways,WP4891,COVID-19 adverse outcome pathway,9
wikipathways,WP5039,SARS-CoV-2 innate immunity evasion and cell-specific immune response,9
wikipathways,WP615,Senescence and Autophagy in Cancer,9
kegg,hsa04014,Ras signaling pathway - Homo sapiens (human),8
kegg,hsa04071,Sphingolipid signaling pathway - Homo sapiens (human),8
kegg,hsa04217,Necroptosis - Homo sapiens (human),8
kegg,hsa04380,Osteoclast differentiation - Homo sapiens (human),8
kegg,hsa04630,JAK-STAT signaling pathway - Homo sapiens (human),8
kegg,hsa04659,Th17 cell differentiation - Homo sapiens (human),8
kegg,hsa04917,Prolactin signaling pathway - Homo sapiens (human),8
kegg,hsa04926,Relaxin signaling pathway - Homo sapiens (human),8
kegg,hsa04929,GnRH secretion - Homo sapiens (human),8
kegg,hsa05206,MicroRNAs in cancer - Homo sapiens (human),8
kegg,hsa05224,Breast cancer - Homo sapiens (human),8
kegg,hsa05321,Inflammatory bowel disease - Homo sapiens (human),8
kegg,mmu04010,MAPK signaling pathway - Mus musculus (mouse),8
kegg,mmu04668,TNF signaling pathway - Mus musculus (mouse),8
kegg,mmu05142,Chagas disease - Mus musculus (mouse),8
kegg,mmu05163,Human cytomegalovirus infection - Mus musculus (mouse),8
kegg,mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (mouse),8
kegg,mmu05205,Proteoglycans in cancer - Mus musculus (mouse),8
pid,lysophospholipid_pathway,LPA receptor mediated events,8
pid,reg_gr_pathway,Glucocorticoid receptor regulatory network,8
pid,vegfr1_2_pathway,Signaling events mediated by VEGFR1 and VEGFR2,8
pid,vegfr1_pathway,VEGFR1 specific signals,8
wikipathways,WP2572,Primary focal segmental glomerulosclerosis (FSGS),8
wikipathways,WP3617,Photodynamic therapy-induced NF-kB survival signaling,8
wikipathways,WP3929,Chemokine signaling pathway,8
wikipathways,WP4806,EGFR Tyrosine Kinase Inhibitor Resistance,8
wikipathways,WP69,T-cell receptor (TCR) signaling pathway,8
biocarta,vegfpathway,vegf hypoxia and angiogenesis,7
kegg,hsa04064,NF-kappa B signaling pathway - Homo sapiens (human),7
kegg,hsa04613,Neutrophil extracellular trap formation - Homo sapiens (human),7
kegg,hsa04625,C-type lectin receptor signaling pathway - Homo sapiens (human),7
kegg,hsa04650,Natural killer cell mediated cytotoxicity - Homo sapiens (human),7
kegg,hsa04722,Neurotrophin signaling pathway - Homo sapiens (human),7
kegg,hsa04919,Thyroid hormone signaling pathway - Homo sapiens (human),7
kegg,hsa04921,Oxytocin signaling pathway - Homo sapiens (human),7
kegg,hsa05034,Alcoholism - Homo sapiens (human),7
kegg,hsa05134,Legionellosis - Homo sapiens (human),7
kegg,hsa05222,Small cell lung cancer - Homo sapiens (human),7
kegg,mmu04014,Ras signaling pathway - Mus musculus (mouse),7
kegg,mmu04380,Osteoclast differentiation - Mus musculus (mouse),7
kegg,mmu04540,Gap junction - Mus musculus (mouse),7
kegg,mmu04621,NOD-like receptor signaling pathway - Mus musculus (mouse),7
kegg,mmu04650,Natural killer cell mediated cytotoxicity - Mus musculus (mouse),7
kegg,mmu04660,T cell receptor signaling pathway - Mus musculus (mouse),7
kegg,mmu05016,Huntington disease - Mus musculus (mouse),7
kegg,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (mouse),7
kegg,mmu05169,Epstein-Barr virus infection - Mus musculus (mouse),7
kegg,mmu05208,Chemical carcinogenesis - reactive oxygen species - Mus musculus (mouse),7
kegg,mmu05415,Diabetic cardiomyopathy - Mus musculus (mouse),7
netpath,Pathway_AndrogenReceptor,AndrogenReceptor,7
netpath,Pathway_TCR,TCR,7
pid,angiopoietinreceptor_pathway,Angiopoietin receptor Tie2-mediated signaling,7
pid,fra_pathway,Validated transcriptional targets of AP1 family members Fra1 and Fra2,7
pid,il23pathway,IL23-mediated signaling events,7
pid,nfat_tfpathway,Calcineurin-regulated NFAT-dependent transcription in lymphocytes,7
wikipathways,WP1533,Vitamin B12 metabolism,7
wikipathways,WP2036,TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway,7
wikipathways,WP2037,Prolactin Signaling Pathway,7
wikipathways,WP2059,"Alzheimer,s disease",7
wikipathways,WP231,TNF-alpha signaling pathway,7
wikipathways,WP3303,RAC1-PAK1-p38-MMP2 Pathway,7
wikipathways,WP3646,Hepatitis C and Hepatocellular Carcinoma,7
wikipathways,WP3863,T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection,7
wikipathways,WP4136,Fibrin Complement Receptor 3 Signaling Pathway,7
wikipathways,WP4217,Ebola Virus Pathway on Host,7
wikipathways,WP4262,Breast cancer pathway,7
wikipathways,WP4559,Interactions between immune cells and microRNAs in tumor microenvironment,7
wikipathways,WP4658,Small cell lung cancer,7
wikipathways,WP4747,Netrin-UNC5B signaling pathway,7
wikipathways,WP530,Cytokines and Inflammatory Response,7
wikipathways,WP710,DNA damage response (only ATM dependent),7
biocarta,no1pathway,actions of nitric oxide in the heart,6
kegg,hsa04140,Autophagy - animal - Homo sapiens (human),6
kegg,hsa04261,Adrenergic signaling in cardiomyocytes - Homo sapiens (human),6
kegg,hsa04370,VEGF signaling pathway - Homo sapiens (human),6
kegg,hsa04640,Hematopoietic cell lineage - Homo sapiens (human),6
kegg,hsa04726,Serotonergic synapse - Homo sapiens (human),6
kegg,hsa04810,Regulation of actin cytoskeleton - Homo sapiens (human),6
kegg,hsa04912,GnRH signaling pathway - Homo sapiens (human),6
kegg,hsa04930,Type II diabetes mellitus - Homo sapiens (human),6
kegg,hsa04931,Insulin resistance - Homo sapiens (human),6
kegg,hsa04935,"Growth hormone synthesis, secretion and action - Homo sapiens (human)",6
kegg,hsa05030,Cocaine addiction - Homo sapiens (human),6
kegg,hsa05202,Transcriptional misregulation in cancer - Homo sapiens (human),6
kegg,hsa05203,Viral carcinogenesis - Homo sapiens (human),6
kegg,hsa05212,Pancreatic cancer - Homo sapiens (human),6
kegg,hsa05215,Prostate cancer - Homo sapiens (human),6
kegg,hsa05226,Gastric cancer - Homo sapiens (human),6
kegg,hsa05415,Diabetic cardiomyopathy - Homo sapiens (human),6
kegg,mmu04020,Calcium signaling pathway - Mus musculus (mouse),6
kegg,mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (mouse),6
kegg,mmu04066,HIF-1 signaling pathway - Mus musculus (mouse),6
kegg,mmu04071,Sphingolipid signaling pathway - Mus musculus (mouse),6
kegg,mmu04115,p53 signaling pathway - Mus musculus (mouse),6
kegg,mmu04215,Apoptosis - multiple species - Mus musculus (mouse),6
kegg,mmu04620,Toll-like receptor signaling pathway - Mus musculus (mouse),6
kegg,mmu04625,C-type lectin receptor signaling pathway - Mus musculus (mouse),6
kegg,mmu04630,JAK-STAT signaling pathway - Mus musculus (mouse),6
kegg,mmu04658,Th1 and Th2 cell differentiation - Mus musculus (mouse),6
kegg,mmu04659,Th17 cell differentiation - Mus musculus (mouse),6
kegg,mmu04713,Circadian entrainment - Mus musculus (mouse),6
kegg,mmu04725,Cholinergic synapse - Mus musculus (mouse),6
kegg,mmu04726,Serotonergic synapse - Mus musculus (mouse),6
kegg,mmu04915,Estrogen signaling pathway - Mus musculus (mouse),6
kegg,mmu04921,Oxytocin signaling pathway - Mus musculus (mouse),6
kegg,mmu04926,Relaxin signaling pathway - Mus musculus (mouse),6
kegg,mmu04933,AGE-RAGE signaling pathway in diabetic complications - Mus musculus (mouse),6
kegg,mmu05034,Alcoholism - Mus musculus (mouse),6
kegg,mmu05133,Pertussis - Mus musculus (mouse),6
kegg,mmu05135,Yersinia infection - Mus musculus (mouse),6
kegg,mmu05140,Leishmaniasis - Mus musculus (mouse),6
kegg,mmu05165,Human papillomavirus infection - Mus musculus (mouse),6
kegg,mmu05171,Coronavirus disease - COVID-19 - Mus musculus (mouse),6
kegg,mmu05203,Viral carcinogenesis - Mus musculus (mouse),6
kegg,mmu05206,MicroRNAs in cancer - Mus musculus (mouse),6
kegg,mmu05210,Colorectal cancer - Mus musculus (mouse),6
kegg,mmu05215,Prostate cancer - Mus musculus (mouse),6
kegg,mmu05418,Fluid shear stress and atherosclerosis - Mus musculus (mouse),6
netpath,Pathway_BCR,BCR,6
netpath,Pathway_Gastrin,Gastrin,6
netpath,Pathway_TGF_beta_Receptor,TGF_beta_Receptor,6
netpath,Pathway_TNFalpha,TNFalpha,6
pid,avb3_integrin_pathway,Integrins in angiogenesis,6
pid,avb3_opn_pathway,Osteopontin-mediated events,6
pid,bcr_5pathway,BCR signaling pathway,6
pid,cd8tcrdownstreampathway,Downstream signaling in na&#xef;ve CD8+ T cells,6
pid,erbb1_downstream_pathway,ErbB1 downstream signaling,6
pid,shp2_pathway,SHP2 signaling,6
pid,syndecan_2_pathway,Syndecan-2-mediated signaling events,6
reactome,R-RNO-1430728,Metabolism,6
wikipathways,WP15,Selenium Micronutrient Network,6
wikipathways,WP1544,MicroRNAs in cardiomyocyte hypertrophy,6
wikipathways,WP176,Folate Metabolism,6
wikipathways,WP2034,Leptin signaling pathway,6
wikipathways,WP2324,AGE-RAGE pathway,6
wikipathways,WP254,Apoptosis,6
wikipathways,WP286,IL-3 signaling pathway,6
wikipathways,WP3287,Overview of nanoparticle effects,6
wikipathways,WP3865,Novel intracellular components of RIG-I-like receptor (RLR) pathway,6
wikipathways,WP4008,NO-cGMP-PKG mediated Neuroprotection,6
wikipathways,WP4155,Endometrial cancer,6
wikipathways,WP4216,Chromosomal and microsatellite instability in colorectal cancer,6
wikipathways,WP4223,Ras signaling,6
wikipathways,WP4239,Epithelial to mesenchymal transition in colorectal cancer,6
wikipathways,WP4263,Pancreatic adenocarcinoma pathway,6
wikipathways,WP4481,Resistin as a regulator of inflammation,6
wikipathways,WP4541,Hippo-Merlin Signaling Dysregulation,6
wikipathways,WP4673,Male infertility,6
wikipathways,WP4685,Melanoma,6
wikipathways,WP4816,TGF-beta receptor signaling in skeletal dysplasias,6
wikipathways,WP4969,RAS and bradykinin pathways in COVID-19,6
wikipathways,WP560,TGF-beta Receptor Signaling,6
wikipathways,WP712,Estrogen signaling pathway,6
wikipathways,WP727,Monoamine Transport,6
biocarta,il1rpathway,signal transduction through il1r,5
kegg,hsa04012,ErbB signaling pathway - Homo sapiens (human),5
kegg,hsa04068,FoxO signaling pathway - Homo sapiens (human),5
kegg,hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human),5
kegg,hsa04360,Axon guidance - Homo sapiens (human),5
kegg,hsa04371,Apelin signaling pathway - Homo sapiens (human),5
kegg,hsa04550,Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human),5
kegg,hsa04611,Platelet activation - Homo sapiens (human),5
kegg,hsa04622,RIG-I-like receptor signaling pathway - Homo sapiens (human),5
kegg,hsa04623,Cytosolic DNA-sensing pathway - Homo sapiens (human),5
kegg,hsa04658,Th1 and Th2 cell differentiation - Homo sapiens (human),5
kegg,hsa04662,B cell receptor signaling pathway - Homo sapiens (human),5
kegg,hsa04670,Leukocyte transendothelial migration - Homo sapiens (human),5
kegg,hsa04713,Circadian entrainment - Homo sapiens (human),5
kegg,hsa04723,Retrograde endocannabinoid signaling - Homo sapiens (human),5
kegg,hsa04750,Inflammatory mediator regulation of TRP channels - Homo sapiens (human),5
kegg,hsa04934,Cushing syndrome - Homo sapiens (human),5
kegg,hsa04976,Bile secretion - Homo sapiens (human),5
kegg,hsa05014,Amyotrophic lateral sclerosis - Homo sapiens (human),5
kegg,hsa05100,Bacterial invasion of epithelial cells - Homo sapiens (human),5
kegg,hsa05120,Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human),5
kegg,hsa05211,Renal cell carcinoma - Homo sapiens (human),5
kegg,hsa05213,Endometrial cancer - Homo sapiens (human),5
kegg,hsa05214,Glioma - Homo sapiens (human),5
kegg,hsa05220,Chronic myeloid leukemia - Homo sapiens (human),5
kegg,hsa05225,Hepatocellular carcinoma - Homo sapiens (human),5
kegg,hsa05231,Choline metabolism in cancer - Homo sapiens (human),5
kegg,hsa05320,Autoimmune thyroid disease - Homo sapiens (human),5
kegg,hsa05322,Systemic lupus erythematosus - Homo sapiens (human),5
kegg,hsa05330,Allograft rejection - Homo sapiens (human),5
kegg,hsa05332,Graft-versus-host disease - Homo sapiens (human),5
kegg,hsa05410,Hypertrophic cardiomyopathy - Homo sapiens (human),5
kegg,mmu04015,Rap1 signaling pathway - Mus musculus (mouse),5
kegg,mmu04064,NF-kappa B signaling pathway - Mus musculus (mouse),5
kegg,mmu04140,Autophagy - animal - Mus musculus (mouse),5
kegg,mmu04261,Adrenergic signaling in cardiomyocytes - Mus musculus (mouse),5
kegg,mmu04722,Neurotrophin signaling pathway - Mus musculus (mouse),5
kegg,mmu04724,Glutamatergic synapse - Mus musculus (mouse),5
kegg,mmu04728,Dopaminergic synapse - Mus musculus (mouse),5
kegg,mmu04919,Thyroid hormone signaling pathway - Mus musculus (mouse),5
kegg,mmu04935,"Growth hormone synthesis, secretion and action - Mus musculus (mouse)",5
kegg,mmu05031,Amphetamine addiction - Mus musculus (mouse),5
kegg,mmu05134,Legionellosis - Mus musculus (mouse),5
kegg,mmu05207,Chemical carcinogenesis - receptor activation - Mus musculus (mouse),5
kegg,mmu05212,Pancreatic cancer - Mus musculus (mouse),5
kegg,mmu05222,Small cell lung cancer - Mus musculus (mouse),5
kegg,mmu05235,PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (mouse),5
netpath,Pathway_Alpha6Beta4Integrin,Alpha6Beta4Integrin,5
netpath,Pathway_IL2,IL2,5
netpath,Pathway_IL6,IL6,5
netpath,Pathway_Leptin,Leptin,5
netpath,Pathway_Oncostatin_M,Oncostatin_M,5
netpath,Pathway_Prolactin,Prolactin,5
pid,caspase_pathway,Caspase Cascade in Apoptosis,5
pid,ceramide_pathway,Ceramide signaling pathway,5
pid,er_nongenomic_pathway,Plasma membrane estrogen receptor signaling,5
pid,fgf_pathway,FGF signaling pathway,5
pid,il12_2pathway,IL12-mediated signaling events,5
pid,il2_1pathway,IL2-mediated signaling events,5
pid,integrin1_pathway,Beta1 integrin cell surface interactions,5
pid,p53downstreampathway,Direct p53 effectors,5
pid,tcptp_pathway,Signaling events mediated by TCPTP,5
pid,telomerasepathway,Regulation of Telomerase,5
reactome,R-DME-168256,Immune System,5
reactome,R-RNO-162582,Signal Transduction,5
reactome,R-RNO-168256,Immune System,5
wikipathways,WP127,IL-5 signaling pathway,5
wikipathways,WP1539,Angiogenesis,5
wikipathways,WP1772,Apoptosis Modulation and Signaling,5
wikipathways,WP195,IL-1 signaling pathway,5
wikipathways,WP1984,Integrated breast cancer pathway,5
wikipathways,WP2586,Aryl Hydrocarbon Receptor Netpath,5
wikipathways,WP262,Ebstein-Barr virus LMP1 signaling,5
wikipathways,WP2828,Bladder cancer,5
wikipathways,WP2877,Vitamin D Receptor Pathway,5
wikipathways,WP289,Myometrial relaxation and contraction pathways,5
wikipathways,WP304,Kit receptor signaling pathway,5
wikipathways,WP364,IL-6 signaling pathway,5
wikipathways,WP366,TGF-beta Signaling Pathway,5
wikipathways,WP4018,Pathways in clear cell renal cell carcinoma,5
wikipathways,WP4255,Non-small cell lung cancer,5
wikipathways,WP437,EGF-EGFR signaling pathway,5
wikipathways,WP4493,Cells and molecules involved in local acute inflammatory response,5
wikipathways,WP4496,Signal transduction through IL1R,5
wikipathways,WP4539,Synaptic signaling pathways associated with autism spectrum disorder,5
wikipathways,WP4655,Cytosolic DNA-sensing pathway,5
wikipathways,WP4674,Head and Neck Squamous Cell Carcinoma,5
wikipathways,WP481,Insulin Signaling,5
wikipathways,WP49,IL-2 signaling pathway,5
wikipathways,WP673,ErbB signaling pathway,5
biocarta,biopeptidespathway,bioactive peptide induced signaling pathway,4
biocarta,ceramidepathway,ceramide signaling pathway,4
biocarta,her2pathway,role of erbb2 in signal transduction and oncology,4
biocarta,hsp27pathway,stress induction of hsp regulation,4
biocarta,il10pathway,il-10 anti-inflammatory signaling pathway,4
biocarta,il2rbpathway,il-2 receptor beta chain in t cell activation,4
biocarta,keratinocytepathway,keratinocyte differentiation,4
biocarta,nfkbpathway,nf-kb signaling pathway,4
biocarta,tffpathway,trefoil factors initiate mucosal healing,4
kegg,hsa04022,cGMP-PKG signaling pathway - Homo sapiens (human),4
kegg,hsa04072,Phospholipase D signaling pathway - Homo sapiens (human),4
kegg,hsa04145,Phagosome - Homo sapiens (human),4
kegg,hsa04150,mTOR signaling pathway - Homo sapiens (human),4
kegg,hsa04211,Longevity regulating pathway - Homo sapiens (human),4
kegg,hsa04270,Vascular smooth muscle contraction - Homo sapiens (human),4
kegg,hsa04350,TGF-beta signaling pathway - Homo sapiens (human),4
kegg,hsa04514,Cell adhesion molecules - Homo sapiens (human),4
kegg,hsa04612,Antigen processing and presentation - Homo sapiens (human),4
kegg,hsa04664,Fc epsilon RI signaling pathway - Homo sapiens (human),4
kegg,hsa04672,Intestinal immune network for IgA production - Homo sapiens (human),4
kegg,hsa04721,Synaptic vesicle cycle - Homo sapiens (human),4
kegg,hsa04911,Insulin secretion - Homo sapiens (human),4
kegg,hsa04924,Renin secretion - Homo sapiens (human),4
kegg,hsa04928,"Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)",4
kegg,hsa04940,Type I diabetes mellitus - Homo sapiens (human),4
kegg,hsa05143,African trypanosomiasis - Homo sapiens (human),4
kegg,hsa05218,Melanoma - Homo sapiens (human),4
kegg,hsa05219,Bladder cancer - Homo sapiens (human),4
kegg,hsa05221,Acute myeloid leukemia - Homo sapiens (human),4
kegg,hsa05223,Non-small cell lung cancer - Homo sapiens (human),4
kegg,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),4
kegg,hsa05412,Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human),4
kegg,hsa05414,Dilated cardiomyopathy - Homo sapiens (human),4
kegg,hsa05416,Viral myocarditis - Homo sapiens (human),4
kegg,mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (mouse),4
kegg,mmu04072,Phospholipase D signaling pathway - Mus musculus (mouse),4
kegg,mmu04260,Cardiac muscle contraction - Mus musculus (mouse),4
kegg,mmu04270,Vascular smooth muscle contraction - Mus musculus (mouse),4
kegg,mmu04350,TGF-beta signaling pathway - Mus musculus (mouse),4
kegg,mmu04370,VEGF signaling pathway - Mus musculus (mouse),4
kegg,mmu04371,Apelin signaling pathway - Mus musculus (mouse),4
kegg,mmu04662,B cell receptor signaling pathway - Mus musculus (mouse),4
kegg,mmu04664,Fc epsilon RI signaling pathway - Mus musculus (mouse),4
kegg,mmu04666,Fc gamma R-mediated phagocytosis - Mus musculus (mouse),4
kegg,mmu04714,Thermogenesis - Mus musculus (mouse),4
kegg,mmu04720,Long-term potentiation - Mus musculus (mouse),4
kegg,mmu04730,Long-term depression - Mus musculus (mouse),4
kegg,mmu04810,Regulation of actin cytoskeleton - Mus musculus (mouse),4
kegg,mmu04912,GnRH signaling pathway - Mus musculus (mouse),4
kegg,mmu04916,Melanogenesis - Mus musculus (mouse),4
kegg,mmu04917,Prolactin signaling pathway - Mus musculus (mouse),4
kegg,mmu04920,Adipocytokine signaling pathway - Mus musculus (mouse),4
kegg,mmu04928,"Parathyroid hormone synthesis, secretion and action - Mus musculus (mouse)",4
kegg,mmu04934,Cushing syndrome - Mus musculus (mouse),4
kegg,mmu04936,Alcoholic liver disease - Mus musculus (mouse),4
kegg,mmu04962,Vasopressin-regulated water reabsorption - Mus musculus (mouse),4
kegg,mmu05030,Cocaine addiction - Mus musculus (mouse),4
kegg,mmu05146,Amoebiasis - Mus musculus (mouse),4
kegg,mmu05202,Transcriptional misregulation in cancer - Mus musculus (mouse),4
kegg,mmu05220,Chronic myeloid leukemia - Mus musculus (mouse),4
kegg,mmu05221,Acute myeloid leukemia - Mus musculus (mouse),4
kegg,mmu05231,Choline metabolism in cancer - Mus musculus (mouse),4
kegg,mmu05321,Inflammatory bowel disease - Mus musculus (mouse),4
kegg,mmu05416,Viral myocarditis - Mus musculus (mouse),4
netpath,Pathway_Ghrelin,Ghrelin,4
netpath,Pathway_IL1,IL1,4
netpath,Pathway_IL3,IL3,4
pid,amb2_neutrophils_pathway,amb2 Integrin signaling,4
pid,betacatenin_nuc_pathway,Regulation of nuclear beta catenin signaling and target gene transcription,4
pid,cd40_pathway,CD40/CD40L signaling,4
pid,cxcr3pathway,CXCR3-mediated signaling events,4
pid,endothelinpathway,Endothelins,4
pid,erbb2erbb3pathway,ErbB2/ErbB3 signaling events,4
pid,fcer1pathway,Fc-epsilon receptor I signaling in mast cells,4
pid,gmcsf_pathway,GMCSF-mediated signaling events,4
pid,hif1_tfpathway,HIF-1-alpha transcription factor network,4
pid,hif2pathway,HIF-2-alpha transcription factor network,4
pid,hivnefpathway,HIV-1 Nef: Negative effector of Fas and TNF-alpha,4
pid,ifngpathway,IFN-gamma pathway,4
